Utterance,Emotion
"Did you just say Hi, Jew?",Neutral
"Ben, dinner!",Joyful
What did you just do?,Mad
"I licked my arm, what?",Powerful
It's breast milk.,Mad
Mr. Heckles.,Neutral
How did this happen?,Neutral
He musta been sweepin'. They found a broom in his hand.,Sad
That's terrible.,Sad
I know. I was sweepin' yesterday. It coulda been me.,Sad
"Sure, sweepin'. You never know.",Sad
You never know.,Sad
"Ok, it's very faint, but I can still sense him in the building. Go into the light, Mr. Heckles!",Sad
"Ok, Phoebe.",Neutral
Such as?,Neutral
"Like crop circles, or the Bermuda triangle, or evolution?",Joyful
"Whoa, whoa, whoa. What, you don't, uh, you don't believe in evolution?",Scared
Nah. Not really.,Neutral
You don't believe in evolution?,Scared
"Too easy? Too...The process of every living thing on this planet evolving over millions of years from single-celled organisms, too easy?",Mad
"Yeah, I just don't buy it.",Peaceful
"Ok, don't get me started on gravity.",Peaceful
"You uh, you don't believe in gravity?",Mad
"Uh-Oh. It's Isaac Newton, and he's pissed.",Joyful
"There she is. And over there, that's the other one. This is Mr. Buddy Boyle, Mr. Heckles' attorney. He'd like to talk to you.",Joyful
What can we do for you?,Joyful
"Well, what about his family?",Sad
He didn't have any.,Powerful
"Ok, so let's talk money.",Peaceful
"All right, there was none. Let's talk signing. You be noisy girl number one, you be noisy girl number two.",Powerful
How can you not believe in evolution?,Scared
Just don't. Look at this funky shirt!,Joyful
Really? You can actually see it?,Neutral
"You bet. In the U.S., China, Africa, all over.",Powerful
"See, I didn't know that.",Neutral
"Well, there you go.",Powerful
"Huh. So now, the real question is, who put those fossils there, and why?",Neutral
"Hey, look at this. ""My Big Book of Grievances.""",Joyful
"Hey, there's me! April 17th. Excessive noise. Italian guy comes homes with a date. Hey Chandler, look, you're in here too.",Joyful
"April 18th, excessive noise. Italian guy's gay roommate comes home with the dry-cleaning. Well that's excellent.",Powerful
"Monica, Monica, look at this lamp. Is this tacky or what? We have to have this.",Joyful
"Rache, I think we have enough regular lamps.",Mad
"What? Come on, it's not like I'm asking for this girly clock or anything, which, by the way, I also think is very cool.",Joyful
It doesn't go with any of my stuff.,Mad
"Well, what about my stuff?",Mad
You don't have any stuff.,Powerful
"You still think of it as your apartment, don't you?",Mad
No.,Neutral
"Yes you do. You think of it as your apartment, and I'm just somebody who rents a room.",Mad
Mmmmm.,Neutral
"Ok, Pheebs. See how I'm making these little toys move? Opposable thumbs. Without evolution, how do you explain opposable thumbs?",Joyful
Maybe the overlords needed them to steer their spacecrafts.,Neutral
Please tell me you're joking.,Mad
"Look, can't we just say that you believe in something, and I don't.",Mad
"No, no, Pheebs, we can't, ok, because--",Mad
"What is this obsessive need you have to make everyone agree with you? No, what's that all about? I think, I think maybe it's time you put Ross under the microscope.",Mad
Is there blood coming out of my ears?,Scared
"Hey, Rache. You know what we haven't played in a while?",Neutral
What?,Neutral
Hide the Lamp.,Joyful
"Monica, let it go.",Mad
Did you know I was allergic to shellfish?,Mad
"Well, then, you'll just have to eat the other lamps.",Mad
Uh-oh. It's Scary Scientist Man.,Scared
"Ok, Phoebe, this is it. In this briefcase I carry actual scientific facts. A briefcase of facts, if you will. Some of these fossils are over 200 million years old.",Joyful
"It's the only possibility, Phoebe.",Mad
"There might be, a teeny, tiny, possibility.",Joyful
I can't believe you caved.,Joyful
What?,Neutral
Hi.,Neutral
"Hi, hi can I help you?",Neutral
"Yeah, I'm looking for Phoebe, does she still live here?",Neutral
"Uh, no she doesn't but I can, I can get a message to her.",Neutral
"Great. Uhh, just tell her her husband stopped by.",Powerful
What?,Scared
"Hey, how, how did you do that?",Scared
"So, uh, does it do anything, you know, special?",Scared
"Why yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia.",Joyful
"You know, in some cultures having a third nipple is actually a sign of virility. You get the best huts and women dance naked around you.",Powerful
"Huh? Are, uh, any of these cultures, per chance, in the tri-state area?",Joyful
"You know, you are so amazing, is there anything you, you don't know?",Joyful
"Ooh, Julie's so smart, Julie's so special.",Mad
"Look honey, I wanted you to hook up with Ross as much as you did. But he's with her now and you're just gonna have to get over it.",Mad
"Ohh, I'm gonna have to get over it. God, see I didn't know that's I had to do, I just have to get over it.",Mad
Woah.,Joyful
Foxy lady.,Joyful
Where you goin'?,Neutral
"Um, I'm gonna go meet Duncan, he's skating tonight at the Garden, he's in the Capades.",Neutral
The Ice Capades?,Scared
"No, no the gravel capades. Yeah, the turns aren't as fast but when Snoopy falls. . . funny.",Joyful
"OK, no. For your information I'm going to see him so I can put all those feeling behind me. OK, and the reason I'm dressed like this is because I think it's nice to look nice for your gay husband.",Joyful
"Oh, darnit, we're all out of milk. Hey Chandler, would you fill me up here?",Joyful
Hi.,Neutral
Phoebe!,Neutral
Ta-da.,Joyful
Hey.,Joyful
Hi.,Neutral
"Ahh, look at you, you look great.",Peaceful
"Do I? Thank you, so do you.",Joyful
Thanks.,Powerful
"Sparkly. So, wow, this is pretty wonerful, huh. Mr. major capades guy. I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",Joyful
You always said I'd make it.,Peaceful
"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",Joyful
I missed you. I'm gonna get changed.,Peaceful
OK.,Neutral
"Um, now. Phoebs.",Neutral
"Oh, right, OK. Ole.",Joyful
What?,Scared
"Um, the matador. Ole, ha ha ha.",Joyful
"Julie, can you hold this for a second, thanks.",Neutral
"Uh, Julie.",Neutral
Yeah?,Neutral
"Sorry, you had a paleontologist on your face. But, uh, it's gone now, you're alright.",Joyful
Hi everyone.,Neutral
Hi.,Neutral
"I just, I wanted to thank you for our uh, our little talk before.",Scared
"Oh, God, no problem. So you're gonna go with the uh, waiting thing?",Scared
"Well, I was going to, but after I talked to you, I talked to Joey.",Peaceful
"What did, what did he say?",Neutral
What's this in my pocket? Why it's Joey's porno movie.,Joyful
Pop it in.,Joyful
"I'm fine with it, I mean, if you're OK watching a video filled with two nippled people.",Peaceful
"Great, people having sex, that's just what I need to see.",Mad
What's wrong with people having sex?,Scared
"Well, well um, you know, these movies are offensive and uh, degrading to women and females. And uh, and the lighting's always unflattering. And, Monica help me out here.",Mad
"Hell, I wanna see Joey.",Joyful
"So is there like a story or do they just stard doing it right. . . oh, never mind.",Scared
"OK, now wait a minute. That is the craziest typing test I've ever seen.",Joyful
"All I say is, she better get the job.",Joyful
Looks to me like he's the one getting the job.,Joyful
Nice work my friend.,Joyful
"So um, so what's up, you came to see me yesterday.",Peaceful
"Oh, yeah, um, alright, I kinda need a divorce.",Scared
Ohh. . .K. How come?,Scared
"Umm, actually, I'm getting married again.",Scared
What?,Mad
"Oh God, I don't know how to tell you this. I'm straight.",Scared
Huuh.,Joyful
"Yeah, I know, I.",Scared
"I, I don't, I don't understand, how can you be straight? I mean, you're, you're so smart and funny and you throw such great Academy Award parties.",Mad
"I know, that's what I kept telling myself but you just reach a point where you can't live a lie anymore.",Peaceful
So how long have you known?,Peaceful
"Well I guess on some level I always knew I was straight. I though I was supposed to be something else, you know, I'm an ice dancer, all my friends are gay, I was just tryin' to fit in.",Neutral
"And um, and there's actually a, a woman?",Neutral
Her name's Debra.,Powerful
"Oh. Well is she, is she the first that you've been with?",Scared
"Well, I've never told you this but, there were one or two times, back in college, when I'd get really drunk, go to a straight bar and wake up with a woman next to me. But I, I, I told myself it was the liquor and e-everyone experiments in college.",Scared
Sure.,Scared
"But now I know I don't have a choice about this, I was born this way.",Powerful
"I'm, I'm still me.",Powerful
Why couldn't you have just figured this out six years ago?,Mad
"You know, it still smells like monkey in there.",Scared
That saves us a conversation.,Neutral
"Well, listen, this has been great but I'm officially wiped.",Neutral
"Me too, we should get goin'.",Neutral
"Rachel, that's all we do.",Neutral
"Maybe that's all we do, what about Julie?",Powerful
What about Julie?,Scared
"Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.",Scared
"Well, that could take a while.",Joyful
"So. I mean, who here does not have the time to get to know Julie?",Scared
I got the time to get to know Julie.,Joyful
I got time.,Joyful
"Rach, I know her pretty well, can I go? That's fine.",Joyful
"OK Julie, so now let's start with your childhood, what was that like?",Joyful
"Well, in a nutshell. . .",Neutral
"Nah, uh, uh, uh, uh.",Scared
"So, um, have you told your parents?",Neutral
"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",Peaceful
I love you Phoebe.,Joyful
So your brother's straigh huh? Seriously.,Neutral
"Man, I sure miss Julie.",Sad
"Spanish midgets. Spanish midgets wrestling. Julie. Ok, yes, I see how you got there.",Joyful
You ever figure out what that thing's for?,Neutral
"Here comes the beep, you know what to do.",Neutral
"Hello, I'm looking for Bob. This is Jane. I don't know if you're still at this number, but I was just thinking about us, and how great it was, and, well, I know it's been three years, but, I was kinda hoping we could hook up again. I barely had t he nerve to make this call, so you know what I did?",Peaceful
What?,Joyful
I got a little drunk...and naked.,Joyful
Bob here.,Neutral
What've you been up to?,Neutral
"Oh, you know, the usual, teaching aerobics, partying way too much. Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Joyful
Can you hold on a moment? I have another call. I love her.,Joyful
I know.,Neutral
I'm back.,Neutral
"So, are we gonna get together or what?",Peaceful
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Joyful
"Great, I'll see you then.",Joyful
Ok. Ok. Having a phone has finally paid off.,Neutral
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""hey, you're not Bob.""",Neutral
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Joyful
Oh my god. You are pure evil.,Joyful
"Ok, pure evil, horny and alone. I've done this.",Joyful
You know what? I'm not gonna be able to enjoy this.,Sad
"Yeah, I know, it's my birthday. We all should be here.",Sad
"So, let's go.",Neutral
"Well maybe, you know, maybe we should stay for one song.",Sad
"Yeah, I mean, it would be rude to them for us to leave now.",Sad
"You know, the guys are probably having a great time.",Neutral
"Come on you guys, one more time.",Peaceful
Ok. One.,Neutral
Nooo.,Scared
That was amazing!,Joyful
"Excellent, that was excellent.",Joyful
I can't believe the guys missed this.,Sad
"What guys? Oh, yeah.",Neutral
"Excuse me, you're Monica Geller aren't you?",Neutral
Do I know you?,Neutral
You used to be my babysitter.,Neutral
"Good, good, I'm a lawyer now.",Joyful
You can't be a lawyer. You're eight.,Sad
"Listen, it was nice to see you. I gotta run backstage.",Joyful
"Uh, wait, backstage?",Neutral
"Oh, yeah, my firm represents the band.",Neutral
Ross.,Neutral
Chandler.,Neutral
"Hey Rach, wanna hear the new song I'm thinkin' of singing this afternoon? I wrote it this morning in the shower.",Joyful
Ok.,Peaceful
"I'm in the shower and I'm writing a song. Stop me if you've heard it. My skin is soapy, and my hair is wet, and Tegrin spelled backward is Nirget.",Peaceful
"Uh, Rachel, sweetheart, could I see ya for a minute?",Neutral
What's up?,Powerful
F.Y.I.. I've decided to pay a professional musician to play in here on Sunday afternoons. Her name is Stephanie... something. She's supposed to be very good.,Neutral
But what about Phoebe?,Mad
"Rachel, it's not that your friend is bad, it's that she's so bad, she makes me want to put my finger through my eye into my brain and swirl it around.",Neutral
"Ok, ok, so you're not a fan, but I mean, come on, you cannot do this to her.",Mad
Uh--,Scared
"Lather, rinse, repeat, and lather, rinse, repeat, and lather, rinse, repeat, as needed.",Joyful
"No, I got him.",Neutral
"No, seriously.",Scared
"Oh, seriously you want him?",Scared
Hello.,Neutral
Hello.,Neutral
And who is this little cutie pie?,Joyful
"Well, don't, don't think me immodest, but, me?",Scared
You wanna smell him?,Joyful
I assume we're talking about the baby now.,Peaceful
"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",Joyful
I think my uterus just skipped a beat.,Joyful
What'd I tell you? What'd I tell you?,Joyful
"Well, we are great guys.",Powerful
Hey.,Neutral
"Oh, hi.",Neutral
Here. I thought you might be cold.,Peaceful
Thank you.,Joyful
Do you?,Neutral
Really? From who?,Scared
Yeah. Here you go.,Neutral
"OK, what is it about me? Do I not look fun enough? Is there something. . . repellant. . . about me?",Sad
"So, how was the party?",Neutral
"Well it couldn't have been worse. A woman literally passed through me. OK, so what is it, am I hideously unattractive?",Sad
"Woah, woah, I've put on a little weight?",Scared
"No, not wieght... y'know, more like insulation.",Neutral
"Chandler, I'm unemployed and in dire need of a project. Ya wanna work out? I can remake you.",Powerful
"Oh, you know, I would, but that might get in the way of my lying around time.",Sad
Please.,Neutral
C'mon. Let her. Yeah.,Neutral
"Alright, OK, alright. But if we put on spandex and my boobs are bigger than yours, I'm goin' home.",Scared
"Your boobs are fine. Look, I never should have said anything. Come here. Come here. Oh, can't make.... hands... meet....",Joyful
"I don't know if Monica told you but this is the first date I've gone on since my divorce so, if I seem a little nervous, I am.",Scared
How long do cats live?,Scared
I'm sorry?,Neutral
"Cats, how long do they live figuring you don't... y'know, throw 'em under a bus or something?",Neutral
"Um, maybe 15, 16 years.",Neutral
That's just great.,Mad
"Um, cheers.",Joyful
"Oh, right, clink.",Neutral
"Monica told you I was cuter that this, didn't she?",Sad
"Oh, no, Michael, it's not you. I'm sorry, it's just, it's this thing. It's probably not as bad as it sounds but this friend of mine is, is getting a cat with his girlfriend.",Sad
"Oh, that does sound. . .Ahh.",Neutral
I mean he just started going out with her.,Neutral
"Is this guy, uhh, an old boyfriend?",Neutral
"Ah, hah-hah-hah-ho, yeah, he wishes. Oh, I'm sorry, look at me. OK, Michael, let's talk about you.",Neutral
Alright.,Neutral
"OK, OK. So, you ever get a pet with a girlfriend?",Neutral
"So, I figured it out.",Neutral
What?,Scared
Why Scott doesn't want to sleep with me. It's 'cause I'm not sexy enough.,Sad
"Phoebe, that's crazy. When I first met you, you know what I said to Chandler? I said, ""Excellent butt, great rack.""",Powerful
"Really? That's so sweet. I mean, I'm officially offended but, sweet.",Joyful
"You're right, you're right. Ah, you are so yumm.",Joyful
Fruitflies?,Neutral
Yes! Thank you.,Joyful
"So, would you like any dessert?",Neutral
"No! No dessert, just a check, please.",Peaceful
"Oh, you're not having fun, are you?",Sad
"Oh, look at me, look at me. Oh, I'm on a date with a really great guy, all I can think about is Ross and his cat and his... Julie. I just want to get over him. gosh, why can't I do that?",Sad
"Oy. Look, I've been through a divorce, trust me you're gonna be fine. You just can't see it now because you haven't had any closure.",Sad
"Yeah! Closure. That's what it is, that's what I need. God, you're brilliant! Why didn't I think of that? How do I get that?",Joyful
Hang on.,Neutral
"Hello, excuse me.",Neutral
What.,Scared
"Hi, I'm sorry, I need to borrow your phone for just one minute.",Powerful
I'm talkin'!,Mad
"I can see that. I... just one phone call, I'll be very quick, I'll even pay for it myself. OK, you're bein' a little weird about your phone.",Neutral
"Alright, fine. I'll call you back.",Neutral
Thank you. OK. Machine. Just waiting for the beep.,Peaceful
Good.,Neutral
"Ross, hi, it's Rachel. I'm just calling to say that um, everything's fine and I'm really happy for you and your cat who, by the way, I think you should name Michael. And, you know, ya see there I'm thinking of names so obviously, I am over you. I am over you and that, my friend, is what they call closure.",Mad
"No, no, no, no, no, no No. Monica, it's Sunday morning. I'm not running on a Sunday.",Mad
Why not?,Neutral
Because it's Sunday. It's God's day.,Powerful
"OK, if you say stop, then we stop.",Neutral
"OK, stop.",Powerful
Hey Joey.,Neutral
Hey Phoebs.,Neutral
How come you're watching a rabbi play electric guitar?,Neutral
I can't find the remote. Thank you.,Sad
"So, Scott asked me to come over for lunch today and I did.",Neutral
And?,Neutral
And we did.,Joyful
"All right Phoebs, way to go.",Joyful
Yay me.,Joyful
"So, so how did it happen?",Joyful
And what did he say?,Neutral
Wow.,Joyful
"Let me get this straight. He got you to beg to sleep with him, he got you to say he never has to call you again, and he got you thinking this was a great idea.",Joyful
Um-hum.,Joyful
This man is my God.,Joyful
Hi.,Neutral
I didn't get a cat.,Sad
"Oh, that's um, interesting.",Neutral
"No, no it's not interesting. OK, it's very, very not interesting. In fact it's actually 100 percent completely opposite of interesting.",Mad
"Alright, I got it Ross.",Neutral
You had no right to tell me you ever had feelings for me.,Sad
What?,Sad
I was doing great with Julie before I found out about you.,Mad
"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",Mad
I didn't know then. And how come you never said anything to me.,Mad
There was never a good time.,Sad
"Right, you, you only had a year. We only hung out every night.",Sad
"Hey, there was one Italian guy, OK, and do you even have a point?",Mad
"Alright, fine, you go ahead and you do that, alright Ross.",Mad
Fine.,Mad
'Cause I don't need your stupid ship.,Mad
Good.,Mad
Good.,Mad
Try the bottom one.,Peaceful
"Nothing, except tell you, uh, I think it's wonderful how much energy you have.",Peaceful
"Well, thanks.",Joyful
"I mean, especially considering how tough it's been for you to find work.",Neutral
"Well, you know.",Neutral
"You know, I mean, you can't tell your parents you were fired because they'd be disappointed.",Neutral
Uh-huh.,Sad
And it's not as if you have a boyfriend's shoulder to cry on.,Neutral
"Well no, but um.",Sad
"I mean, if it were me, I think I'd have difficulty just getting out of bed at all.",Neutral
"Y'know, I try to stay positive. . .",Sad
"So, you feel like goin' for a run?",Neutral
Alright.,Neutral
OK. Just for a little while.,Neutral
OK.,Joyful
"Ooh, ooh, ooh, ooh, ooh. Ugly Naked Guy is decorating his tree. Oh my God, you should see the size of his Christmas Balls.",Joyful
Hey.,Neutral
Hey.,Neutral
Hey.,Neutral
"Hey, how much did you guys tip the super this year?",Neutral
"Oh, actually this year we just made him homemade cookies.",Neutral
And twenty-five it is.,Joyful
You gave him cookies?,Neutral
"Money is so impersonal. Cookies says someone really cares. . . Alright, we're broke, but cookies do say that.",Neutral
I can see that. A plate of brownies once told me a limerick.,Neutral
"Phoebs, let me ask you something, were, were these, uh, funny brownies?",Scared
"Not especially. But you know what, I think they had pot in them.",Neutral
"So you guys, who else did you tip with cookies?",Neutral
"Uhh, the mailman, the super.",Neutral
"Oh, and the newspaper delivery guy.",Peaceful
Oh my God.,Scared
What?,Scared
"Uhhh, I don't think you're gonna like this.",Scared
"Ooh, goooosh, ooh, these are cookies smashed in the sports section.",Mad
"Oh look, and he did my crossword puzzle.",Mad
"Yeah, but not very well, unless 14-across, 'Gershwin musical' actually is bitemebitemebitemebiteme.",Mad
Esther Livingston. Gone.,Neutral
"Hi, Phoe.",Neutral
Hi Gram. Whatcha doin'?,Joyful
"Oh, just updating the phonebook.",Neutral
"Um, gram, um, can I see the pictures of my dad again?",Scared
"Oh. Oh, sure, sure, uh, uh, how come?",Scared
"Just, you know, to see... um.",Scared
"OK, is this really my father?",Scared
Is it really your fa--I can't... well of course it is.,Scared
"OK, I smell smoke. Maybe that's 'cause someone's pants are on fire.",Mad
"Look, I. . .",Scared
"Alright, that is not your father, that's just a picture of a guy in a frame.",Sad
Oh God.,Sad
"Alright, so, what, he's not a famous tree surgeon? And then, I guess, OK, he doesn't live in a hut in Burma where there's no phones?",Mad
"Last I heard, he was a pharmacist somewhere upstate.",Neutral
"OK, that makes no sense. Why would the villagers worship a pharmacist?",Sad
Honey.,Neutral
Oh.,Sad
"Anyway, that's all I know. That, and this. This is the real him.",Sad
Oh.,Neutral
"Ya know I remember my father, all dressed up in the red suit, the big black boots, and the patent leather belt, sneakin around downstairs. He didn't want anybody to see him but he'd be drunk so he'd stumble, crash into something and wake everybody up.",Sad
"Well, that doesn't sound like a very merry Christmas.",Sad
Who said anything about Christmas?,Neutral
Hi.,Neutral
"Hey, anyone hear from Phoebe yet?",Neutral
"No, nothin'.",Neutral
I hope she's OK.,Scared
"Yeah, I know exactly what she's goin' through.",Peaceful
She told us.,Neutral
So whaddya got there Monica?,Neutral
Just some stuff for the party.,Neutral
"Monica, pigeons learn faster that you.",Joyful
C'mon Rachel.,Neutral
"See there, you uhh, alright, ya, you did what I said.",Scared
"Yeah, and you know what? You're right, I do feel better, thank you Ross.",Joyful
Hey.,Neutral
"Hello grandma, if that is in fact your real name.",Neutral
"C'mon now Phoe, don't still be mad at me. How's it going?",Peaceful
"Well, not so good. Upstate's pretty big, he's pretty small, you do the math.",Neutral
"Well, I think you're better off without him. Oh honey, I know he's your daddy but, but to me he's still the irresponsible creep who knocked up your mom and stole her Gremlin.",Scared
"No I just, just wanted to know who he was, ya know.",Neutral
"I know. OK, I wasn't completely honest with you when I told you that, uh, I didn't know exactly where he lived.",Sad
Whattaya mean?,Scared
"He lives at 74 Laurel Drive in Middletown. If you hit the Dairy Queen, you've gone too far. You can take my cab.",Powerful
Wow. Thank you.,Peaceful
"Now, remember, nobody else drives that cab.",Neutral
Phoebe here with the cab yet?,Neutral
"Yeah, she, she brought the invisible cab. . . hop in.",Mad
"Well she better get here soon, the outlet stores close at 7.",Scared
"Hey, here she comes.",Joyful
Hey.,Neutral
Hey.,Neutral
Hey.,Neutral
Hey.,Neutral
"Can you believe this. In, like, two hours I'm gonna have a dad. Eeeshk.",Joyful
Eeeshk.,Joyful
"Yeah, big stuff.",Peaceful
"OK, let's go.",Neutral
OK.,Neutral
"Alright, here, you have to hold this.",Powerful
"OK. Brake left, gas right?",Scared
"Uh-huh, yeah, that's my cheat sheet.",Peaceful
Where's my seat belt?,Scared
"Oh, no no, that side doesn't have one, the paramedics had to cut through it.",Peaceful
Hey!,Scared
Hey.,Scared
"C'mon, just tell me, please, please.",Scared
"For the sixteenth time, no... I do not think you're obsessive.",Mad
"Oh, gosh, it's hot in here.",Mad
"Sure. By the way, there's a difference between being obsessive and. . .",Neutral
"Ross, the heat!",Mad
"Fine, OK! Heat, heat, heat, and I'm the obsessive one. OK, this way is on, so this is. . . off.",Scared
Did you just break the radiator?,Mad
"No, no, I was turnin' the knob and, and. . . here it is.",Scared
Well put it back.,Mad
"It uhh, it won't go back.",Scared
I'll call the super.,Mad
"Here, let me try.",Peaceful
"Oh, oh that's right, I forgot about your ability to fuse metal.",Joyful
"Hey, it's Funny's cousin, Not Funny.",Mad
"Hi, Mr. Treeger. Hi, it's Rachel Green from upstairs. Yes, somebody, uh, broke our knob on the radiator and it's really hot in here. Yes, it's, it's hot enough to bake cookies. Well, do you think we could have a new one by 6? Wha t, no, no, Tuesday, we can't wait until Tuesday, we're having a party tonight.",Scared
"OK, tip the man.",Neutral
"Hey, here's a theme: Come on in, live like bacon.",Joyful
"Ooh, this is it, 74.",Peaceful
"Oh, so that's what this is for.",Neutral
"Wow, this is it, I'm gonna meet my dad. This is like the biggest thing ever, huh.",Joyful
Yeah.,Neutral
Sure is.,Neutral
"OK, here I go. I'm goin' in.",Scared
Alright.,Neutral
Good luck Phoebs.,Neutral
OK.,Neutral
How far'd ya get?,Joyful
Mailbox.,Neutral
"Alright, we're gettin' closer.",Joyful
Uh-huh.,Neutral
"Phoebs, what's goin' on?",Peaceful
"Well, so why not go knock?",Peaceful
"Phoebs, that's OK. You took a big step today.",Peaceful
Yeah?,Neutral
"Yeah, and when you do, he'll be lucky to have you.",Peaceful
You guys. I'm sorry about your shopping.,Sad
"Oh, that's OK, we'll figure something out.",Peaceful
"Ho, ho, ho, holy crap is it hot in here!",Scared
"Really, hey, you mind if I turn the heat down?",Joyful
"Hey, we could have used that kind of thinkin' earlier.",Sad
"Hey, Phoebs, how'd it go.",Joyful
"Oh, I couldn't go in.",Sad
"Honey, I'm sorry.",Powerful
Are you OK?,Sad
"Hey, guys, it's after midnight, merry Christmas everyone.",Joyful
"Hey, Monica, the knob was broken so I just turned it off from underneath, I hope that's alright.",Joyful
"Rach, these are for you.",Neutral
Wiper blades. I don't even have a car.,Scared
"No, but with this new car smell, you'll think you do.",Joyful
"OK, Phoebs, your turn.",Neutral
"Ahh, toilet seat covers! Is that what you were doing while I was getting gas?",Scared
Uh-huh.,Joyful
You guuuyys.,Sad
"And for Ross, Mr. Sweet-tooth.",Neutral
You got me a cola drink?,Scared
"And, a lemon lime.",Neutral
"Well this, this is too much, I feel like I should get you another sweater.",Mad
And last but not least.,Joyful
They're ribbed for your pleasure.,Joyful
"Ok. Here's his diaper bag, and his uh, Mr. Winky, and uh...oh, him. Hi!",Neutral
So how did everything go?,Neutral
"Oh, great. Great. There was a projectile, uh, throwing up incident, but he started it.",Peaceful
"Well, we've gotta go.",Peaceful
Ok.,Neutral
"Oh, right. Um, I've got some news. It's about us.",Neutral
"Oh, you and me?",Scared
"Uh, no, Susan and me.",Neutral
The other us.,Neutral
Ok.,Neutral
"We're uh, we're getting married.",Neutral
"As in, ""I now pronounce you wife and wife"" married?",Scared
"Anyway, we'd like you to come, but we totally understand if you don't want to.",Neutral
Why wouldn't I want to come? I had fun at the first wedding.,Scared
Look I just thought that...,Neutral
Is your finger caught in that chair?,Mad
Mmm hmmm.,Neutral
Want us to go?,Neutral
Uh-huh.,Neutral
That is so good! Do it again!,Joyful
"That's great. All right, I gotta get to work, I got a big dinosaur bone to inspect.",Joyful
"No no, that's me.",Neutral
"Oh, yeah.",Neutral
"Oh, hello.",Peaceful
"Oh, thanks. I couldn't uh...",Peaceful
Is everything ok?,Scared
"Um, no, huh-uh. One of my clients died on the massage table today.",Sad
Oh my god.,Scared
That's a little more relaxed than you want them to get.,Joyful
"Yeah, um, she was 82 years old. Her name was um, Mrs. Adelman.",Sad
"Oh, honey.",Peaceful
What do you mean?,Scared
I think it went into me.,Scared
Hi.,Neutral
How's it going?,Peaceful
It's goin' great. Right on schedule. Got my little happy helpers.,Joyful
"Fine, whatever.",Mad
What's the matter?,Neutral
"Nothing. Ok, everything. I think we're calling off the wedding.",Sad
What?,Neutral
"You're still gonna pay me, right? Or something a little less selfish.",Mad
"Carol, what's the matter? What happened?",Neutral
Oh my god.,Neutral
It's ok. I'm sorry.,Neutral
"I uh can't believe I'm gonna say this, but I think Susan's right.",Powerful
You do?,Mad
"Look, do you love her? And you don't have to be too emphatic about this.",Neutral
Of course I do.,Mad
You're right. Of course you're right.,Neutral
So we're back on?,Scared
We're back on.,Powerful
"You heard the woman. Peel, chop, devil! I can't believe I lost 2 minutes.",Powerful
"It just seems so futile, you know ? All these women, and nothing. I feel like Superman without my powers, you know? I have the cape, and yet I cannot fly.",Powerful
"Well now you understand how I feel every single day, ok? The world is my lesbian wedding.",Joyful
"Butterscotch? No one? All right, you'll be sorry later.",Mad
Thank you.,Neutral
Any time.,Sad
Ross.,Peaceful
"You know, nothing makes God happier than when two people, any two people, come together in love. Friends, family, we're gathered here today to join Carol and Susan in holy matrimony.",Powerful
"Oh my god. Now I've seen everything! Whoa, she's gone. She's gone. She's gone! Go ahead, get married. Go, go.",Joyful
Would you look at them?,Joyful
"Yeah, can't help but.",Powerful
How's that pig-in-the-blanket workin' out for you? I wrapped those bad boys.,Peaceful
I miss Rose.,Scared
"Oh, yeah?",Sad
"Ok, that's so nice.",Peaceful
"I shouldn't even bother coming up with a line, right?",Powerful
"Hey, Mom? Having fun?",Joyful
"Oh, am I! I just danced with a wonderfully large woman. And three other girls made eyes at me over the buffet. Oh, I'm not saying it's something I wanna pursue, but it's nice to know I have options.",Joyful
"There's more alcohol, right?",Joyful
How you doin'?,Neutral
Ok.,Neutral
You did a good thing today.,Neutral
Yeah.,Neutral
You wanna dance?,Neutral
"No, that's fine.",Neutral
Come on. I'll let you lead.,Neutral
Ok.,Neutral
All right look. Penis schmenis. We're all people.,Sad
"Ok, which one of us do you think is gonna be the first one to get married?",Neutral
"Well, Mon, I was married.",Peaceful
"Yeah, me, too, technically.",Neutral
I had a wedding.,Neutral
"All right, just trying to start an interesting discussion.",Neutral
Isn't Ben in this?,Mad
"Oh, yeah!",Joyful
That commercial always makes me so sad.,Sad
"Yeah, but then the guy opens his beer and those girls run at him, so, everything seems to work out OK.",Sad
I meant because the monkey in it reminds me of Marcel.,Sad
"I can see that, 'cause they both have those big brown eyes and, ya know, the little pouty chin.",Sad
And the fact that they're both monkeys.,Neutral
"Sometimes I wonder if I did the right thing, ya know, giving him away.",Sad
"Remember when sometimes he'd borrow your hat, and, and when you got it back there'd be little monkey raisins in it.",Sad
